,0,Datas,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
23,Intangível,34599124.992,33117628.416,33278640.128,30850392.064,31190331.392,30805231.616,28559392.768,28094179.328,27405123.584,23855536.128,23148421.12,22394406.912,22589145.088,22190163.968,21416093.696,20789489.664,21900660.736,19669051.392,19332388.864,18114144.256,16916372.48,15885744.128,16053705.728,16095816.704,15905148.928,19378604.032,18789840.896,18822027.264,18655436.8,18081570.816,17959669.76,19752321.024,18754627.584,18537641.984,18735517.696,18273787.904,24326696.96,24103632.896,22773475.328,10126859.264,10366480.384,10199050.24
24,Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Passivo Total,391021101.056,366869544.96,366875541.504,341714862.08,342278569.984,339647168.512,313706512.384,328096710.656,323424878.592,325210832.896,326375833.6,322696151.04,331396972.544,324097212.416,339061506.048,345549438.976,393410183.168,333058113.536,335397748.736,309415510.016,301095321.6,283575615.488,288843137.024,291880304.64,292741349.376,282120945.664,268785156.096,266921639.936,272265084.928,253501358.08,242568101.888,241783111.68,239097331.712,222235607.04,217320210.432,214662119.424,209939415.04,199471972.352,184338169.856,175739060.224,175305572.352,171268096
26,Passivo Circulante,55929503.744,49175818.24,48573218.816,35516665.856,36718206.976,35420454.912,33204795.392,43357528.064,33954447.36,35008049.152,37466136.576,36609495.04,35206729.728,37064392.704,40567263.232,41182015.488,40621932.544,32140304.384,32165550.08,28513755.136,25483509.76,20983492.608,20279289.856,22517295.104,26674020.352,24768126.976,22992971.776,25668298.752,20958267.392,18403796.992,19872120.832,22225074.176,23473448.96,25651017.728,21962891.264,31384172.544,26867795.968,23652800.512,19464916.992,17418428.416,16337430.528,12013211.648
27,Obrigações Sociais e Trabalhistas,3096328.96,2462652.928,2059422.976,4054028.032,3517680.128,2674344.96,1872505.984,3641102.08,2939784.96,2147326.976,1416568.96,2362088.96,1924407.04,1582612.992,1468189.056,1463767.04,1809649.024,1630446.976,1687179.008,3088833.024,2914951.936,2262038.016,1811334.016,3247361.024,2669837.056,2182003.968,1718215.936,3024651.008,2151717.12,1976060.032,1380148.992,2527258.112,2098625.024,1654360.96,0,0,0,0,0,0,0,0
28,Fornecedores,17703733.248,14970936.32,12981325.824,13609715.712,16168570.88,13832036.352,11960264.704,13367055.36,12711970.816,12392797.184,11555690.496,11829841.92,12176861.184,12488854.528,11199787.008,13139910.656,13832192,11889999.872,11001452.544,11566245.888,9968180.224,8209001.984,7859251.2,8836523.008,8896466.944,9238011.904,8265281.024,9255149.568,9227404.288,8908928,8493405.184,9156706.304,8732002.304,7142336,6739356.16,5803708.928,6140598.784,5196466.176,4101376,3848855.04,3719891.968,3893496.064
29,Obrigações Fiscais,6161546.752,4031042.048,4294870.016,3331427.072,3162778.88,3450535.936,3091964.928,3482643.968,3290880,2971948.032,2557427.968,2700077.056,2558614.016,2646035.968,2771476.992,3268528.896,3209305.088,3040730.112,2058317.056,2398519.04,2358445.056,2024317.952,1611682.944,2753606.912,3650127.104,1467284.992,2087410.944,1974208,2438909.952,841596.032,1132588.032,2037588.992,2486735.104,6895872,1634214.016,1751239.04,1744797.952,573110.016,459124.992,622710.016,1376209.024,772281.024
30,Empréstimos e Financiamentos,6528940.032,5844943.872,11435445.248,3888521.984,5497637.888,7027063.808,6534557.184,5633395.2,5824230.912,6823229.952,7625909.248,5409698.816,7080164.864,10120304.64,11584431.104,9788448.768,12037013.504,9887308.8,10249496.576,3768186.88,5004080.128,3966152.96,4003268.096,4157870.08,6853020.16,7136323.072,6559690.24,7092877.824,4134848,3998433.024,4329546.752,3871650.048,4087700.992,4136476.928,3667357.952,6010869.248,7239507.968,8120791.04,8099469.824,5951438.848,4316569.088,2091070.976
31,Passivos com Partes Relacionadas,3147588.096,3057103.104,4291482.88,4392479.232,2017100.032,2103282.944,2820670.976,893321.024,1607516.032,1701028.992,3087160.064,2189587.968,1810699.008,1927379.968,2604295.936,1855570.048,559667.968,600419.968,856324.992,812697.984,319796.992,481815.008,742716.032,479267.008,246628.992,260242,392308.992,423336,400040,38061,36208,32098,34031,14120,34319,24251,12711,35844,30642,33468,38567,4276
32,Dividendos e JCP a Pagar,0,0,0,0,0,0,0,0,0,0,2602245.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207100.928,2207100.928,3292733.952,3286054.912,6435079.168,8104036.864,711148.032,711148.032,3010580.992,2907282.944,2103276.032,2108078.976
